Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MPL,Medibank Private Limited,Financials,"7,215,490,000",0.41,,,
MQG,Macquarie Group Limited,Financials,"39,647,800,000",2.25,,,
MSB,Mesoblast Limited,Health Care,"585,886,000",0.03,,,
MTS,Metcash Limited,Consumer Staples,"2,254,960,000",0.13,,,
MVF,Monash Ivf Group Limited,Health Care,"214,379,000",0.01,,,
MYO,Myob Group Limited,Information Technology,"2,002,820,000",0.11,,,
MYR,Myer Holdings Limited,Consumer Discretionary,"307,980,000",0.02,,,
MYS,Mystate Limited,Financials,"420,660,000",0.02,,,
MYX,Mayne Pharma Limited,Health Care,"1,274,260,000",0.07,,,
NAB,National Aust. Bank,Financials,"66,270,000,000",3.76,,,
NAN,Nanosonics Limited,Health Care,"1,001,610,000",0.06,,,
NCK,Nick Scali Limited,Consumer Discretionary,"413,100,000",0.02,,,
NCM,Newcrest Mining,Materials,"18,783,800,000",1.06,,,
NCZ,New Century Resource,Materials,"367,900,000",0.02,,,
NEA,Nearmap Limited,Industrials,"942,473,000",0.05,,,
NEC,Nine Entertainment,Consumer Discretionary,"2,481,350,000",0.14,,,
NGI,Navigator Global Limited,Financials,"489,687,000",0.03,,,
NHC,New Hope Corporation,Energy,"3,333,380,000",0.19,,,
NHF,Nib Holdings Limited,Financials,"2,432,640,000",0.14,,,
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,"1,199,940,000",0.07,,,
NST,Northern Star,Materials,"5,608,020,000",0.32,,,
NUF,Nufarm Limited,Materials,"2,368,950,000",0.13,,,
NVT,Navitas Limited,Consumer Discretionary,"2,016,950,000",0.11,,,
NWH,NRW Holdings Limited,Industrials,"723,591,000",0.04,,,
NWL,Netwealth Group,Financials,"1,706,540,000",0.1,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,"942,231,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,354,040,000",0.13,,,
OFX,OFX Group Limited,Financials,"421,989,000",0.02,,,
OGC,Oceanagold Corp Chess Depositary Interest 1:1,Materials,"2,960,250,000",0.17,,,
OMH,Om Holdings Limited 10c,Materials,"974,983,000",0.06,,,
OML,Ooh!Media Limited,Consumer Discretionary,"847,174,000",0.05,,,
ORA,Orora Limited,Materials,"3,813,120,000",0.22,,,
ORE,Orocobre Limited,Materials,"870,905,000",0.05,,,
ORG,Origin Energy,Energy,"12,597,600,000",0.71,,,
ORI,Orica Limited,Materials,"6,515,990,000",0.37,,,
OSH,Oil Search Limited 10 Toea,Energy,"11,899,600,000",0.67,,,
OZL,OZ Minerals,Materials,"3,161,020,000",0.18,,,
PDL,Pendal Group Limited,Financials,"2,385,050,000",0.14,,,
PGH,Pact Group Holdings Limited,Materials,"1,303,740,000",0.07,,,
PLG,Propertylink Group Stapled Securities US Prohibited,Real Estate,"699,225,000",0.04,,,
PLS,Pilbara Min Limited,Materials,"1,133,930,000",0.06,,,
PME,Pro Medicus Limited,Health Care,"1,254,800,000",0.07,,,
PMV,Premier Investments,Consumer Discretionary,"2,186,110,000",0.12,,,
PNI,Pinnacle Investment,Financials,"831,688,000",0.05,,,
PNV,Polynovo Limited,Health Care,"449,540,000",0.03,,,
PPS,Praemium Limited,Information Technology,"265,452,000",0.02,,,
PPT,Perpetual Limited,Financials,"1,522,520,000",0.09,,,
PRU,Perseus Mining Limited,Materials,"430,552,000",0.02,,,
PTM,Platinum Asset,Financials,"2,645,920,000",0.15,,,
QAN,Qantas Airways,Industrials,"8,843,530,000",0.5,,,
QBE,QBE Insurance Group,Financials,"14,256,700,000",0.81,,,
QUB,QUBE Holdings Limited,Industrials,"4,318,920,000",0.24,,,
REA,REA Group,Information Technology,"9,973,440,000",0.57,,,
REG,Regis Healthcare Limited,Health Care,"895,948,000",0.05,,,
RFF,Rural Funds Group FP Units Stapled Securities,Real Estate,"739,566,000",0.04,,,
RHC,Ramsay Health Care,Health Care,"11,462,000,000",0.65,,,
RIC,Ridley Corporation,Consumer Staples,"430,944,000",0.02,,,
RIO,RIO Tinto Limited,Materials,"32,314,400,000",1.83,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"18,624,000,000",1.06,,,
RRL,Regis Resources,Materials,"2,640,060,000",0.15,,,
RSG,Resolute Mining,Materials,"855,989,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"3,800,360,000",0.22,,,
S32,SOUTH32 Limited,Materials,"17,831,700,000",1.01,,,
SAR,Saracen Mineral,Materials,"2,764,320,000",0.16,,,
SBM,ST Barbara Limited,Materials,"2,626,700,000",0.15,,,
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,"21,108,500,000",1.2,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,304,700,000",0.13,,,
SDA,Speedcast Int Limited,Telecommunication Services,"696,732,000",0.04,,,
SDF,Steadfast Group Limited,Financials,"2,093,610,000",0.12,,,
SEA,Sundance Energy,Energy,"329,982,000",0.02,,,
SEK,Seek Limited,Industrials,"5,965,800,000",0.34,,,
SFR,Sandfire Resources,Materials,"1,115,320,000",0.06,,,
SGF,SG Fleet Group Limited,Industrials,"743,785,000",0.04,,,
SGM,Sims Metal MGMT Limited,Materials,"2,102,210,000",0.12,,,
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,"9,091,800,000",0.52,,,
SGR,The Star Ent Group,Consumer Discretionary,"4,072,910,000",0.23,,,
SHL,Sonic Healthcare,Health Care,"10,518,600,000",0.6,,,
SHV,Select Harvests,Consumer Staples,"573,776,000",0.03,,,
SIG,Sigma Health Limited,Health Care,"572,125,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"1,369,130,000",0.08,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,369,490,000",0.13,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"4,053,650,000",0.23,,,
SLC,Superloop Limited,Telecommunication Services,"328,036,000",0.02,,,
SLK,Sealink Travel Group,Consumer Discretionary,"424,988,000",0.02,,,
SOL,Soul Pattinson (W.H),Energy,"6,298,490,000",0.36,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"7,069,340,000",0.4,,,
SPL,Starpharma Holdings,Health Care,"399,492,000",0.02,,,
SRV,Servcorp Limited,Real Estate,"284,645,000",0.02,,,
SSM,Service Stream,Industrials,"776,703,000",0.04,,,
STO,Santos Limited,Energy,"13,476,400,000",0.76,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,438,930,000",0.08,,,
